source,destination,value,t
arg,arg,3722.77988381082,0
arg,bra,3321.5922852,0
arg,chn,4.4617109299,0.13610575142159884
arg,deu,93.78894043,0.05571172260443459
arg,esp,105.7909317,0.008589646110849026
arg,fra,24.677429199,0.054435588588556696
arg,ind,6.1741476059,0.1527964741770185
arg,ita,60.179885864,0.021688667880654655
arg,jpn,0.96874821186,0
arg,kor,0.76094704866,0.08648930296384705
arg,row,2057.697205117096,0.09536454938205864
arg,swe,7.4027667046,0.001016249754337922
arg,usa,123.96909332,0.0029182324415825615
bra,arg,4825.9555664,0
bra,bra,56719.303232940256,0
bra,chn,112.3738327,0.08375583701613837
bra,deu,1235.5939941,0.044672359753743486
bra,esp,48.230869293,0.017317527605110423
bra,fra,112.59748077,0.007588639320140626
bra,ind,23.184844971,0.15189145093723302
bra,ita,233.46160889,0.021074774478737637
bra,jpn,35.552509308,0
bra,kor,14.557515144,0.09522268460571283
bra,row,7603.774280747737,0.08384134224135399
bra,swe,97.799888611,0.007545386173037018
bra,usa,1548.5063477,0.004262313639465102
chn,arg,81.22631073,0.22404321798501559
chn,bra,156.94467163,0.1575312725894038
chn,chn,245096.4392150842,0
chn,deu,590.84259033,0.05217261952423409
chn,esp,163.68122864,0.046590695843765025
chn,fra,373.09771729,0.045415603534313446
chn,ind,230.74737549,0.15181050980368835
chn,ita,507.87738037,0.056351454134755834
chn,jpn,2108.5158691,0
chn,kor,841.06750488,0.0188605991991847
chn,row,14083.07768052331,0.10223470569235052
chn,swe,83.451660156,0.0497244696012396
chn,usa,5365.4248047,0.008617913998253374
deu,arg,415.58963013,0.2291055666504871
deu,bra,1236.7342529,0.19632482497404596
deu,chn,7109.3017578,0.17951558567615708
deu,deu,176398.76351692318,0
deu,esp,17164.808594,0
deu,fra,20493.314453,0.0010628466200503482
deu,ind,362.60922241,0.4795117884050952
deu,ita,20210.150391,0
deu,jpn,4808.3579102,0
deu,kor,2213.6914063,0.08007241421525321
deu,row,134164.59361927517,0.023935595641701533
deu,swe,5461.1445313,0
deu,usa,25483.222656,0.01185560965770812
esp,arg,102.17569733,0.178339641521094
esp,bra,125.80353546,0.1697830371531277
esp,chn,250.39141846,0.1079631670416793
esp,deu,6130.1313477,0
esp,esp,39744.641548546395,0
esp,fra,15556.538086,0.001062844419278594
esp,ind,48.747917175,0.1627894383387058
esp,ita,5400.953125,0
esp,jpn,149.55001831,0
esp,kor,62.555461884,0.08413816621097016
esp,row,24156.111273738716,0.021043248888528376
esp,swe,348.30322266,0
esp,usa,326.25344849,0.008682615210385512
fra,arg,169.73895264,0.1861944233745214
fra,bra,651.24615479,0.17235623898032046
fra,chn,663.82403564,0.10854550434669162
fra,deu,11080.484375,0
fra,esp,9508.5175781,0
fra,fra,88966.35549760616,0
fra,ind,64.411148071,0.16865588834133854
fra,ita,6650.4399414,0
fra,jpn,923.60131836,0
fra,kor,236.21560669,0.07784594757167017
fra,row,35623.89575344857,0.03129229536865996
fra,swe,1417.3433838,0
fra,usa,1176.5930176,0.008622161817425356
ind,arg,36.35503006,0.11567342440811065
ind,bra,29.603712082,0.1699160440139022
ind,chn,17.108888626,0.08838911102044836
ind,deu,192.23887634,0.025417335162519917
ind,esp,79.17616272,0.05159775050032887
ind,fra,86.785102844,0.01896713496161747
ind,ind,28794.162424523238,0
ind,ita,352.76882935,0.03925272387731726
ind,jpn,48.868198395,0
ind,kor,101.96240234,0.060154293313407235
ind,row,2706.944382228723,0.12070587175113026
ind,swe,60.259609222,0.01548001021751465
ind,usa,639.58331299,2.4744885763221047e-4
ita,arg,31.1163311,0.219631530598413
ita,bra,339.61148071,0.14903774481705742
ita,chn,183.81384277,0.14816496580770547
ita,deu,7284.8652344,0
ita,esp,3915.4990234,0
ita,fra,5440.1796875,0.0010628741870026698
ita,ind,100.84645844,0.19958901953880057
ita,ita,46236.652098662424,0
ita,jpn,491.26300049,0
ita,kor,191.12261963,0.07914909306017867
ita,row,18826.671881510807,0.01703815498514958
ita,swe,454.45822144,0
ita,usa,2034.7613525,0.010737268177988948
jpn,arg,307.62475586,0.19679902716786507
jpn,bra,934.29217529,0.18726190912997215
jpn,chn,8634.2255859,0.14614858857298044
jpn,deu,4381.2431641,0.08599692447734687
jpn,esp,2993.6811523,0.08784102387723075
jpn,fra,2630.9943848,0.0848121843775666
jpn,ind,553.07177734,0.35485626707245427
jpn,ita,1960.708252,0.08866325383323781
jpn,jpn,280225.301027895,0
jpn,kor,2052.7602539,0.07977515982632502
jpn,row,83777.00405119745,0.12047656256348334
jpn,swe,774.79907227,0.09316805610841596
jpn,usa,56837.105469,0.012351361301868058
kor,arg,72.409294128,0.3408081968783807
kor,bra,416.71276855,0.3339277988149854
kor,chn,2519.9035645,0.13082727600546637
kor,deu,2111.6936035,0.09375735953447471
kor,esp,1648.5395508,0.0984194106482095
kor,fra,900.85858154,0.09786155744589034
kor,ind,568.32116699,0.17509671505117624
kor,ita,1033.1831055,0.09764674078867815
kor,jpn,511.03076172,0
kor,kor,74899.57393264238,0
kor,row,28427.408744938886,0.13802579385675912
kor,swe,246.92512512,0.09487139954111772
kor,usa,10996.378906,0.011695877869379777
row,arg,708.9413238582205,0.09727006620614748
row,bra,1737.41710317551,0.11376027944925969
row,chn,3759.2940262398106,0.16148117796865802
row,deu,59168.93127011802,8.220354135161065e-4
row,esp,13889.055363222602,0.0023365969712625142
row,fra,18448.3623758321,0.0016635670967876481
row,ind,899.7625003973654,0.2177565618059176
row,ita,18383.690850858882,0.0018617792522095044
row,jpn,6219.12368895301,0
row,kor,1515.2016232827755,0.07515717996661253
row,row,540925.7435996735,0
row,swe,7101.94199276972,0.002309293736109574
row,usa,122652.20869289228,0.0016579140912199655
swe,arg,44.686466217,0.14789271461536654
swe,bra,229.41311646,0.14907915745507588
swe,chn,408.17181396,0.1983654697233323
swe,deu,1644.8323975,0
swe,esp,825.38586426,0
swe,fra,1696.4731445,0.001062852419294516
swe,ind,84.450431824,0.18220671677639708
swe,ita,428.92230225,0
swe,jpn,226.85670471,0
swe,kor,145.02819824,0.0845821714388279
swe,row,16687.118976923317,0.01767746091534346
swe,swe,18959.303585652968,0
swe,usa,2663.4067383,0.012227899939454018
usa,arg,155.0243988,0.2093529726754212
usa,bra,709.10644531,0.1700966603501538
usa,chn,2122.1901855,0.19132145204711673
usa,deu,6473.8842773,0.0935715651427497
usa,esp,517.17053223,0.07009777274950675
usa,fra,722.21679688,0.06348041038377794
